ID,Length_overall,Length_ave,Price_ave,Price_overall,Category,Review,Review_ave,Completion,Minutes_listened,Support_requests,Interaction_Freq,Repurchase
2602.0,1620.0,1620.0,7.3,7.3,Romantic,0,8.91,0.47,761.4,1,101.0,1
2018.0,1620.0,1620.0,7.3,7.3,Romantic,0,8.91,0.0,0.0,0,10.0,1
3953.0,648.0,648.0,7.3,7.3,Romantic,0,8.91,0.0,0.0,0,0.0,1
4098.0,2160.0,2160.0,8.3,8.3,Romantic,0,8.91,0.31,669.6,0,33.0,1
3866.0,2160.0,2160.0,8.3,8.3,Romantic,0,8.91,0.26,561.6,0,93.0,1
2066.0,1620.0,1620.0,8.3,8.3,Romantic,1,9.0,0.24,388.8,0,24.0,1
2807.0,1620.0,1620.0,8.3,8.3,Romantic,0,8.91,0.05,81.0,0,200.0,1
3906.0,1620.0,1620.0,8.3,8.3,Romantic,0,8.91,0.03,48.6,0,95.0,1
2976.0,1188.0,1188.0,8.3,8.3,Romantic,0,8.91,0.0,0.0,0,195.0,1
3146.0,1620.0,1620.0,4.31,4.31,Romantic,0,8.91,0.0,0.0,0,0.0,1
3089.0,1620.0,1620.0,10.32,10.32,Romantic,0,8.91,0.48,777.6,0,30.0,1
1890.0,1188.0,1188.0,5.33,5.33,Romantic,0,8.91,1.0,1188.0,0,86.0,1
2021.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,1.0,2160.0,1,167.0,1
2080.0,2160.0,2160.0,5.33,5.33,Romantic,1,9.0,1.0,2160.0,3,278.0,1
2109.0,1080.0,1080.0,5.33,5.33,Romantic,1,9.0,1.0,1080.0,1,74.0,1
2147.0,1620.0,1620.0,5.33,5.33,Romantic,1,10.0,1.0,1620.0,1,230.0,1
2161.0,1188.0,1188.0,5.33,5.33,Romantic,1,9.0,1.0,1188.0,0,7.0,1
2190.0,1188.0,1188.0,5.33,5.33,Romantic,1,10.0,1.0,1188.0,0,197.0,1
2272.0,324.0,324.0,5.33,5.33,Romantic,0,8.91,1.0,324.0,0,12.0,1
2334.0,2160.0,2160.0,5.33,5.33,Romantic,1,10.0,1.0,2160.0,2,253.0,1
2737.0,1080.0,1080.0,5.33,5.33,Romantic,1,10.0,1.0,1080.0,1,28.0,1
3059.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,1.0,1620.0,2,174.0,1
3168.0,2160.0,2160.0,5.33,5.33,Romantic,1,10.0,1.0,2160.0,10,119.0,1
3598.0,648.0,648.0,5.33,5.33,Romantic,1,10.0,1.0,648.0,0,33.0,1
3810.0,324.0,324.0,5.33,5.33,Romantic,1,8.0,1.0,324.0,0,251.0,1
3868.0,1188.0,1188.0,5.33,5.33,Romantic,0,8.91,1.0,1188.0,1,190.0,1
4454.0,648.0,648.0,5.33,9999.0,Romantic,1,10.0,1.0,648.0,0,205.0,1
1853.0,1620.0,1620.0,5.33,5.33,Romantic,1,10.0,0.99,1603.8,3,135.0,1
2023.0,1620.0,1620.0,5.33,5.33,Romantic,1,10.0,0.99,1603.8,0,48.0,1
2466.0,2160.0,2160.0,5.33,5.33,Romantic,1,10.0,9.99,2138.4,0,308.0,1
2800.0,1620.0,1620.0,5.33,5.33,Romantic,1,10.0,0.99,1603.8,1,190.0,1
3461.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.99,1603.8,2,43.0,1
3759.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.99,2138.4,0,103.0,1
3812.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.99,1603.8,5,3.0,1
2041.0,648.0,648.0,5.33,5.33,Romantic,1,10.0,0.95,615.6,0,9.0,1
3456.0,1188.0,1188.0,5.33,5.33,Romantic,1,9.0,0.95,1128.6,0,9.0,1
4466.0,1188.0,1188.0,5.33,5.33,Romantic,1,10.0,0.93,1104.84,0,176.0,1
4379.0,1620.0,1620.0,5.33,5.33,Romantic,1,10.0,0.92,1490.4,0,274.0,1
4011.0,1188.0,1188.0,5.33,5.33,Romantic,1,5.0,0.91,1081.08,2,253.0,1
2598.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.9,1944.0,0,32.0,1
3781.0,1188.0,1188.0,5.33,5.33,Romantic,0,8.91,0.9,1069.2,0,177.0,1
4315.0,2160.0,2160.0,5.33,5.33,Romantic,1,8.0,0.9,1944.0,3,78.0,1
4114.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.89,1441.8,0,223.0,1
2172.0,324.0,324.0,5.33,5.33,Romantic,1,6.0,0.86,278.64,0,12.0,1
3034.0,1188.0,1188.0,5.33,5.33,Romantic,1,10.0,0.8,950.4,0,167.0,1
3453.0,648.0,648.0,5.33,5.33,Romantic,0,8.91,0.79,511.92,0,208.0,1
3757.0,1080.0,1080.0,5.33,5.33,Romantic,1,10.0,0.77,831.6,0,38.0,1
3936.0,1620.0,1620.0,5.33,5.33,Romantic,1,10.0,0.76,1231.2,1,80.0,1
1830.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.74,1198.8,0,224.0,1
1896.0,1188.0,1188.0,5.33,5.33,Romantic,1,6.0,0.74,879.12,1,44.0,1
2620.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.73,1182.6,1,108.0,1
3820.0,648.0,648.0,5.33,5.33,Romantic,0,8.91,0.73,473.04,0,17.0,1
2168.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.72,1166.4,0,142.0,1
4426.0,1188.0,1188.0,5.33,5.33,Romantic,0,8.91,0.71,843.48,0,239.0,1
3233.0,2160.0,2160.0,5.33,5.33,Romantic,1,8.0,0.7,1512.0,0,246.0,1
3870.0,1188.0,1188.0,5.33,5.33,Romantic,1,10.0,0.67,795.96,0,107.0,1
3726.0,2160.0,2160.0,5.33,5.33,Romantic,1,10.0,0.64,1382.4,0,77.0,1
3872.0,2160.0,2160.0,5.33,5.33,Romantic,1,9.0,0.64,1382.4,0,29.0,1
3907.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.63,1020.6,0,9.0,1
2366.0,1080.0,1080.0,5.33,5.33,Romantic,1,10.0,0.62,669.6,1,27.0,1
4384.0,540.0,540.0,5.33,5.33,Romantic,0,8.91,0.62,334.8,0,40.0,1
2084.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.61,988.2,1,130.0,1
2214.0,1620.0,1620.0,5.33,5.33,Romantic,1,9.0,0.61,988.2,0,4.0,1
3273.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.61,988.2,0,40.0,1
3403.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.6,1296.0,0,228.0,1
3758.0,1188.0,1188.0,5.33,5.33,Romantic,0,8.91,0.6,712.8,0,29.0,1
4122.0,1188.0,1188.0,5.33,5.33,Romantic,0,8.91,0.6,712.8,1,95.0,1
3381.0,648.0,648.0,5.33,5.33,Romantic,1,7.0,0.59,382.32,0,4.0,1
4473.0,1080.0,1080.0,5.33,5.33,Romantic,0,8.91,0.58,626.4,0,100.0,1
2829.0,2160.0,2160.0,5.33,5.33,Romantic,1,8.0,0.57,1231.2,0,275.0,1
4314.0,1620.0,1620.0,5.33,5.33,Romantic,1,10.0,0.56,907.2,0,237.0,1
2462.0,1620.0,1620.0,5.33,5.33,Romantic,1,10.0,0.55,891.0,2,99.0,1
2672.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.55,891.0,1,235.0,1
3477.0,1620.0,1620.0,5.33,5.33,Romantic,1,10.0,0.55,891.0,0,189.0,1
1946.0,1620.0,1620.0,5.33,5.33,Romantic,1,10.0,0.54,874.8,0,257.0,1
3051.0,1188.0,1188.0,5.33,5.33,Romantic,1,10.0,0.54,641.52,0,348.0,1
2383.0,1188.0,1188.0,5.33,5.33,Romantic,1,8.0,0.53,629.64,1,141.0,1
3775.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.53,858.6,1,51.0,1
1910.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.52,1123.2,0,7.0,1
2436.0,1620.0,1620.0,5.33,5.33,Romantic,1,10.0,0.52,842.4,0,57.0,1
2513.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.52,1123.2,0,153.0,1
2813.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.52,842.4,0,34.0,1
2606.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.51,826.2,0,97.0,1
1878.0,1188.0,1188.0,5.33,5.33,Romantic,0,8.91,0.49,582.12,0,160.0,1
2805.0,2160.0,2160.0,5.33,5.33,Romantic,1,9.0,0.49,1058.4,0,130.0,1
2977.0,2160.0,2160.0,5.33,5.33,Romantic,1,9.0,0.49,1058.4,0,82.0,1
2885.0,648.0,648.0,5.33,5.33,Romantic,0,8.91,0.48,311.04,0,60.0,1
3241.0,1620.0,1620.0,5.33,5.33,Romantic,1,10.0,0.48,777.6,0,22.0,1
1942.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.47,761.4,0,63.0,1
3371.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.46,993.6,0,82.0,1
2136.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.45,972.0,0,31.0,1
1854.0,2160.0,2160.0,5.33,5.33,Romantic,1,10.0,0.44,950.4,0,3.0,1
2713.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.44,950.4,0,37.0,1
3437.0,1188.0,1188.0,5.33,5.33,Romantic,0,8.91,0.44,522.72,0,5.0,1
3767.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.44,950.4,0,13.0,1
1965.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.43,928.8,0,157.0,1
2536.0,1080.0,1080.0,5.33,5.33,Romantic,1,10.0,0.43,464.4,0,153.0,1
3622.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.43,696.6,0,139.0,1
3740.0,1620.0,1620.0,5.33,5.33,Romantic,1,8.0,0.43,696.6,0,6.0,1
4462.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.43,696.6,0,252.0,1
2320.0,1620.0,1620.0,5.33,5.33,Romantic,1,10.0,0.42,680.4,0,122.0,1
2328.0,2160.0,2160.0,5.33,5.33,Romantic,1,8.0,0.42,907.2,0,52.0,1
3593.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.42,680.4,0,238.0,1
1904.0,1188.0,1188.0,5.33,5.33,Romantic,1,10.0,0.41,487.08,0,252.0,1
1955.0,1080.0,1080.0,5.33,5.33,Romantic,1,7.0,0.41,442.8,0,248.0,1
2382.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.41,664.2,0,1.0,1
2735.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.41,664.2,0,18.0,1
3508.0,1188.0,1188.0,5.33,5.33,Romantic,1,10.0,0.41,487.08,0,7.0,1
3796.0,1620.0,1620.0,5.33,5.33,Romantic,1,9.0,0.41,664.2,0,212.0,1
3911.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.41,885.6,0,206.0,1
2306.0,1188.0,1188.0,5.33,5.33,Romantic,0,8.91,0.4,475.2,1,72.0,1
2846.0,756.0,756.0,5.33,5.33,Romantic,0,8.91,0.4,302.4,0,7.0,1
2139.0,1188.0,1188.0,5.33,5.33,Romantic,1,10.0,0.39,463.32,0,120.0,1
2211.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.39,842.4,0,120.0,1
3573.0,1188.0,1188.0,5.33,5.33,Romantic,0,8.91,0.39,463.32,0,3.0,1
4013.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.39,631.8,0,208.0,1
3886.0,1620.0,1620.0,5.33,5.33,Romantic,1,10.0,0.38,615.6,0,41.0,1
4132.0,1620.0,1620.0,5.33,5.33,Romantic,1,8.0,0.38,615.6,0,90.0,1
2130.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.37,599.4,0,22.0,1
3802.0,2160.0,2160.0,5.33,5.33,Romantic,1,10.0,0.37,799.2,0,165.0,1
4068.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.37,599.4,0,4.0,1
2888.0,648.0,648.0,5.33,5.33,Romantic,0,8.91,0.36,233.28,0,28.0,1
2113.0,2160.0,2160.0,5.33,5.33,Romantic,1,9.0,0.35,756.0,0,247.0,1
2441.0,1620.0,1620.0,5.33,5.33,Romantic,1,10.0,0.35,567.0,0,119.0,1
3457.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.35,567.0,0,35.0,1
3525.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.35,756.0,0,117.0,1
3641.0,2160.0,2160.0,5.33,5.33,Romantic,1,8.0,0.35,756.0,0,225.0,1
2870.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.34,734.4,0,330.0,1
2986.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.34,734.4,0,294.0,1
2987.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.34,734.4,0,210.0,1
3060.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.34,734.4,0,23.0,1
3261.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.34,734.4,0,277.0,1
1868.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.33,712.8,0,81.0,1
2434.0,324.0,324.0,5.33,5.33,Romantic,0,8.91,0.33,106.92,0,2.0,1
2547.0,1620.0,1620.0,5.33,5.33,Romantic,1,8.0,0.33,534.6,1,68.0,1
2856.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.33,534.6,0,0.0,1
3054.0,2160.0,2160.0,5.33,5.33,Romantic,1,9.0,0.33,712.8,0,31.0,1
3567.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.33,712.8,0,86.0,1
2074.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.32,518.4,0,29.0,1
2444.0,1188.0,1188.0,5.33,5.33,Romantic,0,8.91,0.32,380.16,0,15.0,1
3224.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.32,691.2,0,121.0,1
4303.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.32,518.4,0,101.0,1
4451.0,1620.0,1620.0,5.33,5.33,Romantic,1,10.0,0.32,518.4,0,248.0,1
2505.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.31,502.2,0,168.0,1
3242.0,2160.0,2160.0,5.33,5.33,Romantic,1,5.0,0.31,669.6,0,40.0,1
3682.0,2160.0,2160.0,5.33,5.33,Romantic,1,10.0,0.31,669.6,0,5.0,1
4240.0,1188.0,1188.0,5.33,5.33,Romantic,0,8.91,0.31,368.28,0,132.0,1
2106.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.3,486.0,0,197.0,1
2464.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.3,648.0,0,107.0,1
2509.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.3,486.0,0,47.0,1
2722.0,1620.0,1620.0,5.33,5.33,Romantic,1,10.0,0.3,486.0,0,60.0,1
3637.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.3,486.0,0,7.0,1
3854.0,1188.0,1188.0,5.33,5.33,Romantic,0,8.91,0.3,356.4,0,96.0,1
1839.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.29,626.4,0,27.0,1
2310.0,648.0,648.0,5.33,5.33,Romantic,0,8.91,0.29,187.92,0,193.0,1
2317.0,1188.0,1188.0,5.33,5.33,Romantic,0,8.91,0.29,344.52,0,170.0,1
3179.0,2160.0,2160.0,5.33,5.33,Romantic,1,10.0,0.29,626.4,0,236.0,1
1829.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.28,453.6,0,0.0,1
2298.0,1188.0,1188.0,5.33,5.33,Romantic,0,8.91,0.28,332.64,0,282.0,1
4218.0,1620.0,1620.0,5.33,5.33,Romantic,1,10.0,0.28,453.6,0,101.0,1
4224.0,648.0,648.0,5.33,5.33,Romantic,0,8.91,0.28,181.44,0,20.0,1
4424.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.28,604.8,0,13.0,1
2769.0,1620.0,1620.0,5.33,5.33,Romantic,1,10.0,0.27,437.4,0,9.0,1
3402.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.27,437.4,0,104.0,1
2299.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.26,561.6,0,151.0,1
2719.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.26,561.6,0,115.0,1
3719.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.26,421.2,0,40.0,1
3900.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.26,561.6,0,64.0,1
4036.0,2160.0,2160.0,5.33,5.33,Romantic,1,7.0,0.26,561.6,0,34.0,1
4271.0,2160.0,2160.0,5.33,5.33,Romantic,1,9.0,0.26,561.6,0,21.0,1
4395.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.26,561.6,0,6.0,1
1925.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.25,540.0,0,70.0,1
2104.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.25,540.0,0,176.0,1
2118.0,2160.0,2160.0,5.33,5.33,Romantic,1,10.0,0.25,540.0,0,278.0,1
2167.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.25,540.0,0,85.0,1
2321.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.25,540.0,0,62.0,1
2359.0,1620.0,1620.0,5.33,5.33,Romantic,1,10.0,0.25,405.0,0,31.0,1
3388.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.25,540.0,0,216.0,1
2369.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.24,518.4,0,135.0,1
2514.0,2160.0,2160.0,5.33,5.33,Romantic,1,10.0,0.24,518.4,0,1.0,1
2970.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.24,518.4,0,113.0,1
3032.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.24,518.4,0,35.0,1
2044.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.23,372.6,1,220.0,1
2056.0,2160.0,2160.0,5.33,5.33,Romantic,1,8.0,0.23,496.8,0,6.0,1
2249.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.23,372.6,0,99.0,1
2314.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.23,496.8,0,5.0,1
2845.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.23,372.6,0,175.0,1
4284.0,1620.0,1620.0,5.33,5.33,Romantic,0,8.91,0.23,372.6,0,235.0,1
4356.0,1620.0,1620.0,5.33,5.33,Romantic,1,10.0,0.23,372.6,0,3.0,1
2853.0,2160.0,2160.0,5.33,5.33,Romantic,0,8.91,0.22,475.2,0,244.0,1
